cod_servizio;cod_flusso;piva_utente;piva_distr;cod_pdr;matr_mis;matr_conv;data_com_autolet_cf;let_tot_prel;let_tot_conv
TAL;0050;02195350687;00489490011 ;00880000966812;FIOR034119411070;;31/01/2023;8599;
TAL;0050;02195350687;00489490011 ;00881905833583;MTSB033206078253;;31/01/2023;261;
TAL;0050;02195350687;00489490011 ;00881907422578;MTSB033205914614;;31/01/2023;145;
TAL;0050;02195350687;00489490011 ;00881906222243;MIT0032015348659;;31/01/2023;489;
TAL;0050;02195350687;00489490011 ;00881906735679;SMGR034116594433;;31/01/2023;20670;
TAL;0050;02195350687;00489490011 ;00880000797561 ;ELS3034016374160;;31/01/2023;8068;
TAL;0050;02195350687;00489490011 ;00881903380739;MIT0032014498283;;31/01/2023;9029;
TAL;0050;02195350687;00489490011 ;00881904706700;SMGR034115408657;;31/01/2023;16980;
TAL;0050;02195350687;00489490011 ;00881903255832;FIOR034421120610;;31/01/2023;20;
TAL;0050;02195350687;00489490011;00880001700893;WTTS034019064648;;31/01/2023;6346;
TAL;0050;02195350687;00489490011;00880000254998 ;MIT0032011720707;;31/01/2023;8414;
TAL;0050;02195350687;00489490011;00881907321655;ITGG034200115200;;31/01/2023;12145;
TAL;0050;02195350687;00489490011;00881907044349;MIT0032012292945;;31/01/2023;4584;
TAL;0050;02195350687;00489490011;00881903513917 ;ELS3034015510104;;31/01/2023;8382;
TAL;0050;02195350687;00489490011;00881905717361;MIT0032011120948;;31/01/2023;4646;
TAL;0050;02195350687;00489490011;00881904483524;WTTS034019063216;;31/01/2023;2319;
TAL;0050;02195350687;00489490011;00881907064560;MIT0032015314272;;31/01/2023;553;
TAL;0050;02195350687;00489490011;00881907212151;MTSB034802717459;;31/01/2023;7788;
TAL;0050;02195350687;00489490011;00881906890457 ;MTSB033206078227;;31/01/2023;443;
TAL;0050;02195350687;00489490011;00880000763790;MIT0032014272601;;31/01/2023;2267;
TAL;0050;02195350687;00489490011;00881904062161;WTTS034019063995;;31/01/2023;6560;
TAL;0050;02195350687;00489490011;00880000240294;WTTS034019069583;;31/01/2023;3046;
TAL;0050;02195350687;00489490011;00881904395915;MTSB034803850044;;31/01/2023;4859;
TAL;0050;02195350687;00489490011;00881904724659;MIT0032015173965;;31/01/2023;1222;
TAL;0050;02195350687;00489490011;00880000499759 ;WTTS034221025491;;31/01/2023;3310;
TAL;0050;02195350687;00489490011;00880000592164;ITGG034200139541;;31/01/2023;20347;
TAL;0050;02195350687;00489490011;00881904910653 ;FIOR034420174050;;31/01/2023;5475;
TAL;0050;02195350687;00489490011;00881906500911;MIT0032013406103;;31/01/2023;1576;
TAL;0050;02195350687;00489490011;00881904604293;MIT0032013542707;;31/01/2023;10039;
TAL;0050;02195350687;00489490011;00881907344996;FIOR034421101630;;31/01/2023;940;
TAL;0050;02195350687;00489490011;00881903503660;MTSB033204418801;;31/01/2023;3996;
TAL;0050;02195350687;00489490011;00881903267993;MIT0032010727771;;31/01/2023;20789;
TAL;0050;02195350687;00489490011;00881907344954;MIT0032015271086;;31/01/2023;231;
TAL;0050;02195350687;00489490011;00881904708680;MIT0032015270521;;31/01/2023;1043;
TAL;0050;02195350687;00489490011;00881906379415;MTSB034802285421;;31/01/2023;5608;
TAL;0050;02195350687;00489490011;00880000775048;MTSB033206078214;;31/01/2023;434;
TAL;0050;02195350687;00489490011;00881904064134;FIOR034420279185;;31/01/2023;3563;
TAL;0050;02195350687;00489490011;00880000962432;FIOR034119931472;;31/01/2023;5413;
TAL;0050;02195350687;00489490011;00880000299387;MTSB033205915019;;31/01/2023;408;
TAL;0050;02195350687;00489490011;00881907078784;FIOR034420118887;;31/01/2023;6348;
TAL;0050;02195350687;00489490011;00880000426338;MIT0032013406609;;31/01/2023;7545;
TAL;0050;02195350687;00489490011;00881903512166;FIOR034120020914;;31/01/2023;4603;
TAL;0050;02195350687;00489490011;00881903418521;WTTS034221025476;;31/01/2023;4796;
TAL;0050;02195350687;00489490011;00881906016269;FIOR034420118872;;31/01/2023;2534;
TAL;0050;02195350687;00489490011;00881906668769;FIOR034421101452;;31/01/2023;288;
TAL;0050;02195350687;00489490011;00881904714613 ;MIT0032015270517;;31/01/2023;1239;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
